"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2578","task2","firefox","Fri Dec 20 21:08:17 EET 2024","passed","Fri Dec 20 21:08:20 EET 2024","","hw_11.spec.ts","",""
"","30027","task3","webkit","Fri Dec 20 21:08:42 EET 2024","broken","Fri Dec 20 21:09:12 EET 2024","","hw_12.spec.ts","",""
"","30027","task3","firefox","Fri Dec 20 21:08:25 EET 2024","broken","Fri Dec 20 21:08:55 EET 2024","","hw_12.spec.ts","",""
"","3860","task2","chromium","Fri Dec 20 21:08:09 EET 2024","passed","Fri Dec 20 21:08:13 EET 2024","","hw_11.spec.ts","",""
"","2726","task4","firefox","Fri Dec 20 21:08:18 EET 2024","passed","Fri Dec 20 21:08:20 EET 2024","","hw_11.spec.ts","",""
"","3710","task4","webkit","Fri Dec 20 21:08:43 EET 2024","passed","Fri Dec 20 21:08:47 EET 2024","","hw_12.spec.ts","",""
"","2517","task1","webkit","Fri Dec 20 21:08:47 EET 2024","passed","Fri Dec 20 21:08:49 EET 2024","","hw_13.spec.ts","",""
"","5484","task1","webkit","Fri Dec 20 21:08:37 EET 2024","passed","Fri Dec 20 21:08:43 EET 2024","","hw_12.spec.ts","",""
"","6838","task1","chromium","Fri Dec 20 21:08:09 EET 2024","passed","Fri Dec 20 21:08:16 EET 2024","","hw_12.spec.ts","",""
"","30017","task3","chromium","Fri Dec 20 21:08:09 EET 2024","broken","Fri Dec 20 21:08:39 EET 2024","","hw_11.spec.ts","",""
"","30025","task3","chromium","Fri Dec 20 21:08:13 EET 2024","broken","Fri Dec 20 21:08:43 EET 2024","","hw_12.spec.ts","",""
"","4186","task2","chromium","Fri Dec 20 21:08:09 EET 2024","passed","Fri Dec 20 21:08:13 EET 2024","","hw_12.spec.ts","",""
"","2464","task1","firefox","Fri Dec 20 21:08:16 EET 2024","passed","Fri Dec 20 21:08:19 EET 2024","","hw_11.spec.ts","",""
"","4788","task1","firefox","Fri Dec 20 21:08:23 EET 2024","passed","Fri Dec 20 21:08:28 EET 2024","","hw_12.spec.ts","",""
"","1664","task4","webkit","Fri Dec 20 21:08:36 EET 2024","passed","Fri Dec 20 21:08:37 EET 2024","","hw_11.spec.ts","",""
"","2179","task4","chromium","Fri Dec 20 21:08:13 EET 2024","passed","Fri Dec 20 21:08:16 EET 2024","","hw_12.spec.ts","",""
"","3379","task5","chromium","Fri Dec 20 21:08:13 EET 2024","failed","Fri Dec 20 21:08:17 EET 2024","","hw_12.spec.ts","",""
"","3365","task5","firefox","Fri Dec 20 21:08:28 EET 2024","failed","Fri Dec 20 21:08:31 EET 2024","","hw_12.spec.ts","",""
"","30020","task3","webkit","Fri Dec 20 21:08:36 EET 2024","broken","Fri Dec 20 21:09:06 EET 2024","","hw_11.spec.ts","",""
"","4731","task1","firefox","Fri Dec 20 21:08:28 EET 2024","passed","Fri Dec 20 21:08:33 EET 2024","","hw_13.spec.ts","",""
"","3893","task4","chromium","Fri Dec 20 21:08:09 EET 2024","passed","Fri Dec 20 21:08:13 EET 2024","","hw_11.spec.ts","",""
"","4359","task5","webkit","Fri Dec 20 21:08:44 EET 2024","failed","Fri Dec 20 21:08:49 EET 2024","","hw_12.spec.ts","",""
"","30023","task3","firefox","Fri Dec 20 21:08:17 EET 2024","broken","Fri Dec 20 21:08:47 EET 2024","","hw_11.spec.ts","",""
"","1514","task1","webkit","Fri Dec 20 21:08:33 EET 2024","passed","Fri Dec 20 21:08:34 EET 2024","","hw_11.spec.ts","",""
"","1521","task2","webkit","Fri Dec 20 21:08:40 EET 2024","passed","Fri Dec 20 21:08:42 EET 2024","","hw_12.spec.ts","",""
"","1206","task2","webkit","Fri Dec 20 21:08:34 EET 2024","passed","Fri Dec 20 21:08:35 EET 2024","","hw_11.spec.ts","",""
"","3869","task1","chromium","Fri Dec 20 21:08:09 EET 2024","passed","Fri Dec 20 21:08:13 EET 2024","","hw_11.spec.ts","",""
"","2812","task4","firefox","Fri Dec 20 21:08:25 EET 2024","passed","Fri Dec 20 21:08:28 EET 2024","","hw_12.spec.ts","",""
"","2560","task1","chromium","Fri Dec 20 21:08:14 EET 2024","passed","Fri Dec 20 21:08:16 EET 2024","","hw_13.spec.ts","",""
"","1630","task2","firefox","Fri Dec 20 21:08:24 EET 2024","passed","Fri Dec 20 21:08:25 EET 2024","","hw_12.spec.ts","",""
